WeaponId,WeaponName,WeaponTypeId,WeaponPrice
1,Sapphire Infused Gold Shortsword,1,156000
2,Gladiator's Copper Spellblade,1,127000
3,Annihilation Adamantite Razor,1,148000
4,Zealous Copper Doomblade,1,188000
5,Ghastly Glass Greatsword,1,109000
6,Vicious Mithril Skewer,1,149000
7,Loyal Copper Swiftblade,1,155000
8,Undead Obsidian Doomblade,1,146000
9,Arcane Obsidian Defender,1,141000
10,Bone Crushing Glass Doomblade,1,110000
11,Frail Golden Edge,2,186000
12,Undead Silver Battle Axe,2,172000
13,Barbarian Ebon Greataxe,2,194000
14,Sinister Glass Cleaver,2,138000
15,Yearning Glass Greataxe,2,162000
16,Thirsty Golden Maul,2,105000
17,Misty Bronzed Broadaxe,2,192000
18,Twilight's Golden Greataxe,2,124000
19,Restored Titanium Chopper,2,175000
20,Feral Skeletal Greataxe,2,163000
21,Brutality Maple Chord,3,193000
22,Liar's Willow Recurve,3,137000
23,Corrupted Redwood Straight Bow,3,109000
24,Solitude's Hardwood Heavy Crossbow,3,113000
25,Warlord's Yew Self Bow,3,131000
26,Vengeful Yew Heavy Crossbow,3,165000
27,Lonely Hardwood Longbow,3,110000
28,Hope's Ironbark Shooter,3,183000
29,Curved Iron Shooter,3,176000
30,Lusting Oak Compound Bow,3,116000
31,Baneful Golden Pummel,4,102000
32,Apocalypse Steel Bludgeon,4,123000
33,Hopeless Bronzed Mace,4,141000
34,Gladiator's Bone Pummel,4,187000
35,Feral Bronze Mace,4,113000
36,Sinister Adamantite Impaler,4,116000
37,Warden's Bronze Crusher,4,194000
38,Shadow Titanium Basher,4,180000
39,Enlightened Bronzed Mace,4,194000
40,Possessed Bone Morning Star,4,118000
41,Gleaming Shadowsteel Spine,5,174000
42,Wind's Phantomsteel Edge,5,197000
43,Inherited Ivory Glaive,5,156000
44,Desolation Maple Gouger,5,138000
45,Desolation Ironbark Battlescythe,5,189000
46,Misty Ebon Ripper,5,147000
47,Fierce Oak Reaper,5,160000
48,Fortune's Obsidian Battlescythe,5,172000
49,Renovated Ivory Sickle,5,163000
50,Frost Oak Glaive,5,147000
