TransactionId,WeaponId,Quantity
1,9,3
2,43,1
3,16,4
4,21,5
5,9,4
6,19,3
7,34,5
8,30,5
9,17,2
10,28,2
11,27,4
12,26,1
13,1,1
14,19,2
15,36,4
16,8,5
17,2,4
18,3,1
19,27,1
20,25,3
21,6,1
22,42,5
23,6,3
24,12,5
25,9,4
26,42,3
27,33,2
28,22,4
29,14,4
30,46,3
31,40,3
32,34,5
33,26,2
34,25,5
35,3,1
36,13,4
37,27,1
38,10,3
39,37,2
40,30,1
41,38,2
42,29,1
43,29,5
44,46,1
45,34,3
46,8,2
47,49,2
48,1,1
49,3,2
50,11,2
51,43,1
52,6,1
53,17,3
54,19,3
55,38,3
56,50,4
57,14,1
58,21,3
59,17,3
60,17,1
61,5,3
62,44,4
63,34,3
64,42,3
65,29,3
66,4,5
67,12,1
68,14,5
69,4,1
70,11,3
71,20,1
72,22,3
73,12,1
74,7,3
75,40,2
76,19,4
77,31,3
78,47,5
79,22,4
80,29,1
81,34,2
82,2,4
83,28,1
84,17,3
85,32,2
86,13,4
87,38,2
88,46,3
89,17,4
90,38,1
91,5,2
92,8,1
93,6,3
94,21,4
95,18,4
96,39,1
97,13,5
98,33,1
99,20,2
100,46,2
3,5,1
3,46,3
3,24,3
4,26,2
5,20,5
5,28,2
5,35,5
6,41,2
6,33,2
7,40,5
7,14,4
7,28,3
9,32,5
9,22,2
10,36,4
10,3,2
10,47,1
11,14,5
11,13,3
11,37,3
11,32,4
13,10,4
13,34,4
13,50,1
14,13,2
14,16,2
14,31,4
14,14,1
14,20,3
14,21,1
15,7,2
15,49,5
16,40,2
16,6,5
17,22,5
18,5,1
19,1,5
19,3,3
20,44,3
21,21,2
22,3,4
24,26,2
24,41,5
25,39,5
25,45,2
25,37,2
25,11,2
26,24,3
26,13,4
26,17,5
26,21,1
27,6,2
27,14,3
27,50,3
27,35,2
29,35,3
30,36,2
30,11,1
31,13,4
31,44,4
32,49,4
32,17,3
32,25,2
33,13,5
34,10,5
35,9,3
35,35,3
35,29,1
36,43,5
37,28,3
37,13,5
37,17,1
38,26,4
38,4,4
39,4,4
40,5,2
40,12,5
41,36,1
42,18,5
42,41,2
42,26,5
43,25,1
43,41,3
44,48,4
44,4,5
45,24,2
45,30,2
45,6,3
46,5,2
46,23,2
46,9,2
47,43,3
47,19,2
47,1,3
48,31,4
49,26,1
49,16,1
49,30,1
51,17,3
52,34,4
52,36,2
52,30,2
52,47,1
53,25,2
53,34,2
54,34,1
54,23,2
55,31,2
55,25,5
55,17,2
55,50,5
55,12,2
55,22,5
55,26,1
56,52,5
56,28,5
57,47,4
58,50,1
58,15,5
58,16,2
59,2,4
60,1,3
60,48,5
60,9,2
60,43,5
61,8,4
62,22,1
63,23,5
63,3,5
63,19,4
64,45,2
64,12,2
65,26,5
65,40,4
65,35,4
65,50,2
66,33,5
66,38,4
67,32,1
67,35,3
67,23,1
68,39,2
69,40,4
70,30,2
71,27,2
71,4,1
71,24,4
71,13,4
72,43,3
73,7,2
73,5,2
73,40,3
75,30,3
75,35,5
75,20,3
75,4,2
76,38,5
76,23,3
76,37,4
77,19,5
77,20,5
78,39,1
78,32,2
78,15,1
81,30,4
82,48,2
82,4,4
82,47,3
82,14,3
83,10,1
83,26,2
83,13,5
83,11,1
83,36,5
84,48,5
85,14,3
86,19,4
87,46,5
87,25,4
88,26,4
88,45,4
88,6,5
88,48,3
88,39,3
89,35,2
90,17,4
90,14,2
92,14,1
92,20,3
92,46,4
94,7,3
95,32,4
96,20,2
96,28,5
96,4,1
97,6,1
97,23,1
98,30,5
99,14,3
99,6,5
